SYMC,2017-05-31,"[-60, -30)",the Event Date does not exist in its price file
SYMC,2017-05-31,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-05-31,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
AMD,2008-03-21,"[-60, -30)",the Event Date does not exist in its price file
AMD,2008-03-21,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2008-03-21,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2008-03-21,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2008-03-21,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2008-03-21,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2008-03-21,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2008-03-21,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2008-03-21,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2008-03-21,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
VZ,2011-11-23,"[0, 2)","Prices are constant in this duration, not useful"
TWTR,2012-01-27,"[-60, -30)",the Event Date does not exist in its price file
TWTR,2012-01-27,"[0, 2)",the Event Date does not exist in its price file
KMB,2017-06-16,"[-60, -30)",the Event Date does not exist in its price file
KMB,2017-06-16,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
SUPN,2012-05-25,"[-60, -30)",Not enough price data for this duration
AAPL,2016-01-18,"[-60, -30)",the Event Date does not exist in its price file
AAPL,2016-01-18,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
EGRX,2013-07-30,"[-60, -30)",the Event Date does not exist in its price file
EGRX,2013-07-30,"[0, 2)",the Event Date does not exist in its price file
ROK,2017-06-14,"[-60, -30)",the Event Date does not exist in its price file
ROK,2017-06-14,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
ZBRA,2017-05-31,"[-60, -30)",the Event Date does not exist in its price file
ZBRA,2017-05-31,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-05-31,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-05-31,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
WMT,2012-11-04,"[-60, -30)",the Event Date does not exist in its price file
WMT,2012-11-04,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2012-11-04,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2012-11-04,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
AVT,2016-09-13,"[-60, -30)","Zero Price error, 2016-06-29 price is : 0.000000 | "
BELFA,2011-01-24,"[0, 2)","Prices are constant in this duration, not useful"
MON,2010-04-02,"[-60, -30)",the Event Date does not exist in its price file
MON,2010-04-02,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2010-04-02,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
AMPH,2011-10-07,"[-60, -30)",the Event Date does not exist in its price file
AMPH,2011-10-07,"[0, 2)",the Event Date does not exist in its price file
DLTH,2011-06-23,"[-60, -30)",the Event Date does not exist in its price file
DLTH,2011-06-23,"[0, 2)",the Event Date does not exist in its price file
BKS,2017-01-12,"[0, 2)","Prices are constant in this duration, not useful"
GE,2012-11-29,"[0, 2)","Prices are constant in this duration, not useful"
WDC,2017-06-08,"[-60, -30)",the Event Date does not exist in its price file
WDC,2017-06-08,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-08,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
CDW,2009-05-07,"[-60, -30)",the Event Date does not exist in its price file
CDW,2009-05-07,"[0, 2)",the Event Date does not exist in its price file
MOG-A,2017-06-08,"[-60, -30)",the Event Date does not exist in its price file
MOG-A,2017-06-08,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-08,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-08,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
NTAP,2014-09-25,"[0, 2)","Prices are constant in this duration, not useful"
CHTR,2009-10-13,"[-60, -30)",the Event Date does not exist in its price file
CHTR,2009-10-13,"[0, 2)",the Event Date does not exist in its price file
AAPL,2017-06-23,"[-60, -30)",the Event Date does not exist in its price file
AAPL,2017-06-23,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-23,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-23,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
KODK,2009-10-14,"[-60, -30)",the Event Date does not exist in its price file
KODK,2009-10-14,"[0, 2)",the Event Date does not exist in its price file
LLY,2017-06-16,"[-60, -30)",the Event Date does not exist in its price file
LLY,2017-06-16,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-16,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
ASUR,2014-10-10,"[0, 2)","Prices are constant in this duration, not useful"
GE,2017-05-26,"[-60, -30)",the Event Date does not exist in its price file
GE,2017-05-26,"[0, 2)",the Event Date does not exist in its price file
ATEN,2013-02-12,"[-60, -30)",the Event Date does not exist in its price file
ATEN,2013-02-12,"[0, 2)",the Event Date does not exist in its price file
ATEN,2011-09-06,"[-60, -30)",the Event Date does not exist in its price file
ATEN,2011-09-06,"[0, 2)",the Event Date does not exist in its price file
ZNGA,2015-09-10,"[0, 2)","Prices are constant in this duration, not useful"
BGCA,2011-02-23,"[-60, -30)",the Event Date does not exist in its price file
BGCA,2011-02-23,"[0, 2)",the Event Date does not exist in its price file
NVS,2017-06-09,"[-60, -30)",the Event Date does not exist in its price file
NVS,2017-06-09,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-09,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-09,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
BRCD,2013-02-12,"[0, 2)","Prices are constant in this duration, not useful"
KODK,2012-03-22,"[-60, -30)",the Event Date does not exist in its price file
KODK,2012-03-22,"[0, 2)",the Event Date does not exist in its price file
GMED,2009-07-17,"[-60, -30)",the Event Date does not exist in its price file
GMED,2009-07-17,"[0, 2)",the Event Date does not exist in its price file
GES,2016-01-20,"[0, 2)","Prices are constant in this duration, not useful"
GMED,2009-10-07,"[-60, -30)",the Event Date does not exist in its price file
GMED,2009-10-07,"[0, 2)",the Event Date does not exist in its price file
CBS,2009-12-14,"[0, 2)","Prices are constant in this duration, not useful"
MSFT,2016-01-18,"[-60, -30)",the Event Date does not exist in its price file
MSFT,2016-01-18,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
KMT,2013-01-11,"[0, 2)","Prices are constant in this duration, not useful"
AMPH,2011-10-21,"[-60, -30)",the Event Date does not exist in its price file
AMPH,2011-10-21,"[0, 2)",the Event Date does not exist in its price file
AAPL,2017-06-06,"[-60, -30)",the Event Date does not exist in its price file
AAPL,2017-06-06,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-06,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
LAUR,2013-04-12,"[-60, -30)",the Event Date does not exist in its price file
LAUR,2013-04-12,"[0, 2)",the Event Date does not exist in its price file
AMPH,2011-10-28,"[-60, -30)",the Event Date does not exist in its price file
AMPH,2011-10-28,"[0, 2)",the Event Date does not exist in its price file
SUPN,2013-03-27,"[0, 2)","Prices are constant in this duration, not useful"
GMED,2009-10-27,"[-60, -30)",the Event Date does not exist in its price file
GMED,2009-10-27,"[0, 2)",the Event Date does not exist in its price file
CFG,2009-09-11,"[-60, -30)",the Event Date does not exist in its price file
CFG,2009-09-11,"[0, 2)",the Event Date does not exist in its price file
LLY,2017-06-01,"[-60, -30)",the Event Date does not exist in its price file
LLY,2017-06-01,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-01,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
CRDS,2010-12-23,"[0, 2)","Prices are constant in this duration, not useful"
IBM,2016-01-18,"[-60, -30)",the Event Date does not exist in its price file
IBM,2016-01-18,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[-60, -30)",TYPE: HML,the Event Date does not exist in the factor file
FACTOR_ERROR,2016-01-18,"[0, 2)",TYPE: HML,the Event Date does not exist in the factor file
CFG,2011-08-03,"[-60, -30)",the Event Date does not exist in its price file
CFG,2011-08-03,"[0, 2)",the Event Date does not exist in its price file
DHR,2017-06-14,"[-60, -30)",the Event Date does not exist in its price file
DHR,2017-06-14,"[0, 2)",the Event Date does not exist in its price file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[0, 2)",TYPE: Mkt-RF,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[-60, -30)",TYPE: SMB,the Event Date does not exist in the factor file
FACTOR_ERROR,2017-06-14,"[0, 2)",TYPE: SMB,the Event Date does not exist in the factor file
